2026-03-05 10:57:19.672 INFO  [http-nio-8761-exec-2] c.n.e.r.AbstractInstanceRegistry - Registered instance PROPERTY-CONFIG-SERVER/WS-19572.netcracker.com:property-config-server:8888 with status UP (replication=false)
2026-03-05 10:58:10.598 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 3ms
2026-03-05 10:58:19.163 INFO  [http-nio-8761-exec-5] c.n.e.r.AbstractInstanceRegistry - Registered instance API-GATEWAY-SERVICE/WS-19572.netcracker.com:api-gateway-service:8081 with status UP (replication=false)
2026-03-05 10:59:10.616 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 17ms
2026-03-05 10:59:40.590 INFO  [http-nio-8761-exec-8] c.n.e.r.AbstractInstanceRegistry - Registered instance APP-MONITORING-ADMIN-SERVER/WS-19572.netcracker.com:app-monitoring-admin-server:8087 with status UP (replication=false)
2026-03-05 10:59:56.593 INFO  [http-nio-8761-exec-4] c.n.e.r.AbstractInstanceRegistry - Registered instance PAYMENT-MANAGEMENT-SERVICE/WS-19572.netcracker.com:payment-management-service:8086 with status UP (replication=false)
2026-03-05 11:00:02.400 INFO  [http-nio-8761-exec-5] c.n.e.r.AbstractInstanceRegistry - Registered instance INVENTORY-MANAGEMENT-SERVICE/WS-19572.netcracker.com:inventory-management-service:8085 with status UP (replication=false)
2026-03-05 11:00:03.525 INFO  [http-nio-8761-exec-8] c.n.e.r.AbstractInstanceRegistry - Registered instance ORDER-MANAGEMENT-SERVICE/WS-19572.netcracker.com:order-management-service:8084 with status UP (replication=false)
2026-03-05 11:00:03.864 INFO  [http-nio-8761-exec-1] c.n.e.r.AbstractInstanceRegistry - Registered instance USER-MANAGEMENT-SERVICE/WS-19572.netcracker.com:user-management-service:8082 with status UP (replication=false)
2026-03-05 11:00:03.904 INFO  [http-nio-8761-exec-2] c.n.e.r.AbstractInstanceRegistry - Registered instance PRODUCT-CATALOG-SERVICE/WS-19572.netcracker.com:product-catalog-service:8083 with status UP (replication=false)
2026-03-05 11:00:05.947 INFO  [http-nio-8761-exec-3] c.n.e.r.AbstractInstanceRegistry - Registered instance PRODUCT-CATALOG-SERVICE/WS-19572.netcracker.com:product-catalog-service:8083 with status DOWN (replication=false)
2026-03-05 11:00:09.000 INFO  [http-nio-8761-exec-4] c.n.e.r.AbstractInstanceRegistry - Cancelled instance PRODUCT-CATALOG-SERVICE/WS-19572.netcracker.com:product-catalog-service:8083 (replication=false)
2026-03-05 11:00:10.631 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 14ms
2026-03-05 11:01:10.632 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2026-03-05 11:02:10.368 WARN  [Eureka-PeerNodesUpdater] c.n.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2026-03-05 11:02:10.637 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 5ms
2026-03-05 11:03:10.646 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 9ms
